000000	01100000	00	01	0000	0000
000000	01100000	00	01	0000	0000
000000	01100000	00	11	0000	0000
000000	01100000	00	10	7654	0000
000001	10001100	01	01	7654	0000
000001	10001100	01	01	7654	0000
000001	10001100	01	10	7654	0000
000001	10001100	01	10	7654	0000
000010	01100101	01	01	7654	0003
000010	01100101	01	10	7654	0003
000010	01100101	01	10	7654	0003
000011	01110011	01	01	7654	0003
000011	01110011	01	01	7654	0003
000011	01110011	01	10	7654	0003
000100	11100000	10	01	7654	0003
000100	11100000	10	01	7654	0003
000100	11100000	10	10	7654	0003
000100	11100000	10	10	7654	0003
000110	10001100	10	01	7654	0003
000110	10001100	10	10	7654	0003
000110	10001100	10	10	7654	0003
000111	01101100	10	01	7654	0003
000111	01101100	10	01	7654	0003
000111	01101100	10	10	7654	0003
001000	01110111	00	01	7654	0003
001000	01110111	00	01	7654	0003
001000	01110111	00	10	7654	0003
001000	01110111	00	10	7654	0003
001001	11100000	10	01	7654	0003
001001	11100000	10	10	7654	0003
001001	11100000	10	10	7654	0003
001011	10011001	10	01	7654	0003
001011	10011001	10	01	7654	0003
001011	10011001	10	10	7654	0003
001100	10011101	10	01	7654	0073
001100	10011101	10	01	7654	0073
001100	10011101	10	10	7654	0073
001100	10011101	10	10	7654	0073
001101	01111110	10	01	7654	0076
001101	01111110	10	11	7654	0076
001101	01111110	10	10	7654	0076
001110	11100000	10	01	7654	0076
001110	11100000	10	01	7654	0076
001110	11100000	10	10	7654	0076
010100	11111100	10	11	7654	0076
010000	10111101	10	01	7654	0076
010000	10111101	10	10	7654	0076
010000	10111101	10	10	7654	0076
010001	10111001	10	01	6654	0076
010001	10111001	10	11	6654	0076
010001	10111001	10	10	6654	0076
010010	01010100	10	01	6754	0076
010010	01010100	10	01	6754	0076
010010	01010100	10	10	6754	0076
010010	01010100	10	11	6754	0076
010011	11000000	00	01	6754	0176
010011	11000000	00	10	6754	0176
010011	11000000	00	10	6754	0176
000110	10001100	00	01	6754	0176
000110	10001100	00	01	6754	0176
000110	10001100	00	10	6754	0176
000111	01101100	00	01	6754	0173
000111	01101100	00	01	6754	0173
000111	01101100	00	10	6754	0173
000111	01101100	00	10	6754	0173
001000	01110111	00	01	6754	0173
001000	01110111	00	10	6754	0173
001000	01110111	00	10	6754	0173
001001	11100000	10	01	6754	0173
001001	11100000	10	01	6754	0173
001001	11100000	10	10	6754	0173
001011	10011001	10	01	6754	0173
001011	10011001	10	01	6754	0173
001011	10011001	10	10	6754	0173
001011	10011001	10	10	6754	0173
001100	10011101	10	01	6754	0173
001100	10011101	10	10	6754	0173
001100	10011101	10	10	6754	0173
001101	01111110	10	01	6754	0175
001101	01111110	10	01	6754	0175
001101	01111110	10	10	6754	0175
001110	11100000	10	01	6754	0175
001110	11100000	10	01	6754	0175
001110	11100000	10	10	6754	0175
001110	11100000	10	10	6754	0175
010000	10111101	10	01	6754	0175
010000	10111101	10	11	6754	0175
010000	10111101	10	10	6754	0175
010001	10111001	10	01	6554	0175
010001	10111001	10	01	6554	0175
